BFMTV_BFMStory_2012-11-14_175800 2150.49 2157.32 Olivier_TRUCHOT  29 1 6.83 6.65000000000236 0.110000000000127 0.0333333333333333 0.016105417276739 mais les temps prend de l' acide(2) beffa mystery avec Rachid_M'_barki c' est qu' il faut se(2) soit retenir(2) dans l' actualité tout d' abord l' escalade(3) au proche-orient(4) 
BFMTV_BFMStory_2012-11-14_175800 2392.39 2396.434 Olivier_TRUCHOT  10 2 4.044 3.5300000000002 0.44399999999996 0.166666666666667 0.109792284866459 dans l' actualité également(7) aujourd'hui nicolas(2) sarkozy reçu par Vladimir_Poutine 
BFMTV_BFMStory_2012-11-14_175800 2396.44 2404.699 Rachid_M_BARKI  31 3 8.259 7.67999999999984 0.440000000000055 0.0882352941176471 0.0532752149170668 l' ancien(2) président(2) français est(3) en voyage privé en russie et pour la toute première fois depuis qu' il a quitté l' élysée il s' est(3) exprimé(2) publiquement(2) et politiquement(3) écoutez 
BFMTV_BFMStory_2012-11-14_175800 2405.81 2414.441 Nicolas_SARKOZY  20 9 8.631 5.08999999999924 3.45000000000073 0.310344827586207 0.399721932568732 il a voulu rappeler(3) les moments Nicolas_Demorand plus difficile que(2) nous(2) avons pris(2) à chaque fois nous(2) avons plus sûre 
BFMTV_BFMStory_2012-11-14_175800 2414.98 2419.763 Nicolas_SARKOZY  11 8 4.783 2.0300000000002 2.64300000000048 0.421052631578947 0.552582061467799 il y(5) avait la confiance(2) et on se retrouve sur scène 
BFMTV_BFMStory_2012-11-14_175800 2420.28 2422.705 Nicolas_SARKOZY  6 3 2.425 1.19000000000005 1.22499999999991 0.333333333333333 0.50515463917522 on s' aperçoit que ces élections(5) 
BFMTV_BFMStory_2012-11-14_175800 2424.18 2426.407 Nicolas_SARKOZY  0 4 2.227 0 2.10000000000036 1 0.942972608891048 
BFMTV_BFMStory_2012-11-14_175800 2426.41 2439.823 Rachid_M_BARKI  51 4 13.413 12.21 1.07000000000062 0.0727272727272727 0.0797733542086497 les dernières avec un chalutier il fait(2) actuellement(3) demi-tour vers le(2) port des sables d' olonne pour tenter de(2) réparer les dégâts(3) et surtout essayer(3) de(2) repartir écoutez(3) ce qu' ils peuvent l' actualité c' est(3) aussi le(2) vendée globe avec une(2) barre tonkin ne(2) renonce pas malgré une collision nan 
BFMTV_BFMStory_2012-11-14_175800 2440.58 2469.088 Louis_BURTON  83 21 28.508 22.0999999999985 6.23799999999983 0.201923076923077 0.21881577101164 selon(2) eux du chantier un(2) un(2) florissants(2) eut et mené(2) plus le(2) je(2) fais route(2) sur la mure(2) ce(2) qui est(3) endommagé trois enfants vous verrez ça veut dire que(2) tous(3) les(2) moyens d' arriver(2) à remonter aux saveurs menendez(4) mais non(2) linéaire(3) parce qu' il faut pour les autres sont forts et à cause de(2) sa jeunesse(3) l' affaire est en train d' essayer(3) de de(2) de de(2) se(2) faire faire sur mesures danseuses et là aussi c' est(3) le(2) plus(2) évident(5) 
BFMTV_BFMStory_2012-11-14_175800 2470 2488.908 Rachid_M_BARKI  78 10 18.908 17.4500000000007 1.34000000000015 0.113636363636364 0.0708694732388484 et puis du football ce(2) soir avec l'équipe de(2) france qui se(2) déplace à parme pour affronter l' italie en match amical que(2) les deux(2) équipes(4) prennent d' ailleurs très(2) au sérieux actuellement(3) les(2) italiens sont(2) en(2) tête de(2) leur groupe de(2) qualification pour le(2) mondial deux mille quatorze tout comme d' ailleurs la france qui on s' en souvient reste(2) sur un match nul contre(2) l' espagne c' était(2) à madrid il y(5) a environ deux semaines(7) 
BFMTV_BFMStory_2012-11-14_175800 2489.54 2491.532 Olivier_TRUCHOT  9 0 1.992 1.90999999999985 0 0 0 demain matin pas de changement(2) pour le(2) temps ce 
BFMTV_BFMStory_2012-11-14_175800 2491.53 2503.585 Rachid_M_BARKI  44 9 12.055 10.71 1.33500000000004 0.169811320754717 0.110742430526755 nombre une fort aguerris au nord il y aura du soleil au sud la logique est respectée les températures seront fraîches un petit degré à reims trois paris quatre à brest ainsi qu'à clermont-ferrand cet abandon il fera dix(2) à nice et douze(2) ajaccio 
BFMTV_BFMStory_2012-11-14_175800 2512.01 2540.004 Olivier_TRUCHOT  96 20 27.994 25.4200000000019 2.20400000000063 0.172413793103448 0.0787311566764533 israël a donc lancé l' opération militaire(3) aérienne(2) sur gaza une(2) vingtaine de(2) raids le(2) chef militaire(3) du hamas a été(2) tué les portes(2) de(2) l' enfer promise(2) à l' état(2) hébreu(2) c' est(2) valmore qui le(2) porte parole missa de affaires(4) étrangères demba fm sur nous(2) expliquer que(2) il fallait pas s' inquiéter c' est(3) une opération très ciblée il s' agit de(2) stopper les tirs de(2) roquettes(2) du hamas tu dis que le(2) mouvement(2) palestinien(2) on(2) essaye(5) de(2) décrypter(2) tout ça ce(2) sera vécu ce que(2) ces bonsoir ulysse(2) tout(2) à l' heure légale(3) 
BFMTV_BFMStory_2012-11-14_175800 2529.95 2530.605 Ulysse_GOSSET  4 1 0.655 0.580000000000382 0.0149999999998727 0.2 0.0229007633585842 à l' heure légale(3) 
BFMTV_BFMStory_2012-11-14_175800 2540 2627.276 Ulysse_GOSSET  288 95 87.276 74.1199999999999 13.0859999999998 0.248041775456919 0.149938127320223 oui on comprend ce(2) que(2) nous dit le(2) porte parole(2) israélien et c' est vrai que(2) les populations du sud d' israël sont constamment l' objet de(2) tirs de(2) roquettes sept cents roquettes pendant l' année deux mille douze une tension très forte et une accentuation de ces tirs au cours des dernières quarante huit(2) heures donc c' est vrai c' est(3) une opération ciblée chirurgicale(2) vingt raids contre(2) des sites de(2) lancement(2) de roquettes contre(2) les dépôts de munitions on parle beaucoup de(2) roquettes à longue portée iranienne(2) qui aurait une portée de(2) quarante à quatre vingts kilomètres donc c' est(3) à dire quasiment la distance qui sépare(3) gaza de(2) tel aviv et puis aussi donc et surtout le(2) fait majeur c' est la liquidation l' élimination(2) la l' assassinat donc du du chef des opérations militaire(2) du hamas qui est non seulement(3) responsable(2) donc des différents(2) attentats qui ont eu lieu depuis de(2) nombreuses années n' est plus une dizaine(2) mais qui était(3) aussi impliqué dans la prise d' otages(2) du franco israélien Gilad_Shalit il est(2) là mais c' est(3) important parce que(2) c' est celle(3) de du point de vue israélien une nécessité(4) un signal très fort pour dire arrêtons(2) les tirs de(2) racket arrêtons(2) les(2) attentats ce(2) n' est plus possible(2) et ça c' est dans(2) un contexte qui est celui d' une élection(4) à venir en(2) israël en janvier prochain or les leaders(3) politiques se(2) sont rendus dans le sud d' israël à commencer par le premier ministre et là il a été(2) au contact de(2) la population qui lui a dit ça suffit(2) et donc chacun montre(2) ses muscles peut(2) être pour se(2) préparer donc à une campagne important pour le(2) pays 
BFMTV_BFMStory_2012-11-14_175800 2597.03 2598.203 Olivier_TRUCHOT  4 2 1.173 0.619999999999891 0.470000000000255 0.333333333333333 0.400682011935426 il est(2) là mais 
BFMTV_BFMStory_2012-11-14_175800 2627.28 2643.549 Olivier_TRUCHOT  55 12 16.269 14.349999999999 1.73000000000002 0.17910447761194 0.106337205728688 oui il y a toujours le(2) risque(2) de(2) l' escalade(2) de puisque israël dit moi j' attaque tant que(2) ces tirs de(2) roquettes se(2) poursuivaient et ce(2) soir le(2) mouvement(2) palestinien(2) répliquent(2) les portes(2) de(2) l' enfer sont(2) ouvertes puisque(2) l' état(2) hébreu(2) a tué notre(2) chef il y(5) aura des représailles(5) côté le hamas 
BFMTV_BFMStory_2012-11-14_175800 2640.72 2641.304 Ulysse_GOSSET  2 1 0.584 0.440000000000055 0.139999999999873 0.333333333333333 0.239726027397042 chef il 
BFMTV_BFMStory_2012-11-14_175800 2643.55 2723.281 Ulysse_GOSSET  284 86 79.731 68.3100000000004 11.351000000001 0.232432432432432 0.142366206368928 il manque humblement et c' est pour cela(2) que(2) ce que(2) nous dit le porte parole(2) peut(2) être(2) contestée car effectivement(6) il y(5) aura des représailles on sait pas encore sous quelle forme on peut imaginer toutes sortes de représailles et surtout redouter des(2) attentats-suicides on ne sait pas quand cela interviendra mais il y(5) aura de(2) représailles dans le(2) climat ne(2) va pas s' apaiser(2) au contraire c' est(3) un un risque(2) d' escalade sérieux(3) et d' ailleurs surtout huit(2) heures le(2) porte parole de(2) tsahal l' armée israélienne(6) a lui -même dit je(2) cite parce qu' il faut il faut(2) ou non c' était précisément(3) toutes les(2) options sont sur la table si nécessaire(8) l' armée est prête(2) à lancer une opération terrestre à gaza on parle de(2) de(2) plusieurs dizaines de(2) chars qui sont déjà mobilisés on on on prépare un(2) appel aux réservistes et dans le(2) sud d' israël on(2) a dit environ un million de personnes préparez vous à vous précipiter aux(2) abris dans tout ça si vous voulez les états(3) s' est(3) tordu et ça intervient(3) dans(2) un contexte régional extrêmement(8) compliqué aussi puisque(2) n' oublions(3) pas après les printemps arabe c' est(3) un président(2) islamiste qui est(3) à la tête de(2) l' egypte oublions(3) pas qu' il y(5) a eu il y(5) a quelques(6) jours des raids des des des tensions très fortes dans le(2) sud de(2) la syrie dans le(2) golan(3) on(2) imagine bien les répercussions pourraient avoir un(2) embrasement(2) dans la région c' est(3) très très très sensible et d' autant que(2) les palestiniens(3) eux- mêmes sont(2) en pleine offensive diplomatique ils veulent retourner à l' onu(3) pour obtenir le(2) statut des états(3) membres observateurs 
BFMTV_BFMStory_2012-11-14_175800 2723.28 2748.171 Olivier_TRUCHOT  87 17 24.891 22.1900000000005 2.63100000000031 0.163461538461538 0.105700855731 merci lise que(2) ces leroy millions sept un français qui a décroché(2) le(2) jackpot le(2) gros lot cent soixante neuf millions d' euros c' est d' ailleurs un record chez nous c' est peut(2) être indécent(2) s' en tout(2) cas la question(2) de(2) se(2) pose ce(2) député(2) qui est(3) avec(2) nous en direct de(2) l' assemblée nationale le(2) député(2) Eric_Straumann bonsoir monsieur(2) le député ump du haut-rhin c' est c' est vrai que(2) selon vous cette excessive(4) cent soixante neuf millions d' euros pour un seul homme(2) 
BFMTV_BFMStory_2012-11-14_175800 2742.54 2743.588 Eric_STRAUMANN  4 1 1.048 0.767999999999574 0.2800000000002 0.2 0.267175572519275 haut-rhin c' est c' 
BFMTV_BFMStory_2012-11-14_175800 2748.75 2796.403 Eric_STRAUMANN  181 36 47.653 39.7099999999996 7.23000000000138 0.165898617511521 0.1517218223407 c' est alors qu' on soit(2) je(2) vais évoquer(2) cette question(2) il y(5) a deux(2) ans ici dans la salle des pas perdus(2) et ça avait fait son deux(2) à l' époque(3) ce(2) lorsque(2) le(2) couple(2) d' anglais avait gagner je crois cent quatre vingt dix millions d' ecu entre(2) cent quatre vingt dix lions d' euros et on nous(2) avait expliqué que c' est(3) une situation tout(2) à fait exceptionnelle(5) et ça risque pas de se(2) reproduire et chaque fois que les dégâts(3) pourtant rôle après ce mardi était donc c' est la troisième fois battant l' été dernier y(4) a encore eu des dégâts(3) eh bien qu' il est passé cent quatre-vingt ou cent vingt trois millions d' euros voilà donc c' est(3) un débat récurrent en tout cas ça marche bien pour pour la française des jeux pour l' euro millions puisque ses grands bien on encourage d' une part des des joueurs a pas d' amis(2) et davantage(2) miser ont nombreux puis de(2) paroles en faveur effectivement(14) beaucoup foods alors sur le coup de pub(2) très(2) intéressant 
BFMTV_BFMStory_2012-11-14_175800 2796.4 2804.278 Olivier_TRUCHOT  33 2 7.878 7.61999999999989 0.0900000000001455 0.0571428571428571 0.0114242193450299 mais qu' est ce que(2) vous demandez toujours le(2) plafonnement dégâts(3) à l' époque je me(2) souviens ont(2) rarement été de(2) dire ça permettrait de(2) distribuer plus(3) d' argent à plus(3) de(2) gagnants 
BFMTV_BFMStory_2012-11-14_175800 2805.22 2836.326 Eric_STRAUMANN  106 25 31.106 26.420000000001 4.40000000000055 0.190839694656489 0.141451809940222 d' abord je(2) je(2) pense que(2) cette idée reste(2) d' actualité que(2) malheureusement(3) mon jeu j' ai eu un certain(2) nombre(2) de(2) corps et qui avait soutenu(2) dans ce vide(2) mais je(2) crois que l' immense majorité des français(2) prestat(2) ajjer habité ce que(2) les grains soient(2) illimitée et que(2) ce(2) soit des montants importants qui soient distribués parce que(2) leurs oeuvres(2) sera(2) d' autant plus(3) importante personnellement(3) je(2) me suis toujours pas convaincu de(2) cette argumentation vous(2) imaginez ce(2) soir ça n' avait pu distribuer sans un(2) gain de(2) trente millions à travers la france on(2) aurait fait d' autant que de(2) rock en plus(2) 
BFMTV_BFMStory_2012-11-14_175800 2836.33 2840.437 Olivier_TRUCHOT  13 4 4.107 3.13999999999942 0.859999999999673 0.235294117647059 0.209398587776886 êtes -vous sûr que(2) ce(2) gagnant va rester en france(2) avec les(2) impôts 
BFMTV_BFMStory_2012-11-14_175800 2842.27 2876.469 Eric_STRAUMANN  115 25 34.199 29.8900000000003 4.11900000000105 0.178571428571429 0.120442118190621 alors dans(2) un premier temps de(2) guerre(3) ne sont pas soumis(2) à impôt effectivement(10) il y(5) a aucune raison de quitter la france ont su dans(2) dix étant(4) naturellement(3) des des(2) intérêts sont soumis à fiscalité et d' ailleurs la transmission aussi soumis(2) à fiscalité s' il souhaite transmettre(2) cette somme(2) à la famille bien ça sera(2) soumis à des droits de succession ce rebond important donc mes enfants soient(2) tous(2) que(2) cet argent naturellement(3) reste en france(2) puisqu' on(2) avait davantage distribuées sur notre territoire(3) certains demandent(5) que(2) l' argent aurait été mieux distribue géographiquement(2) et pour peut(2) être où on(2) en est ému(2) moins de risques(2) cet argent titres(2) et quelques(5) autres(2) pays 
BFMTV_BFMStory_2012-11-14_175800 2876.47 2884.249 Olivier_TRUCHOT  24 4 7.779 6.60000000000036 1.0590000000002 0.142857142857143 0.136135750096439 donc en résumé vous(2) êtes bien ça la somme national à vouloir plafonner le(2) montant des gains du loto et c' est delors dit 
BFMTV_BFMStory_2012-11-14_175800 2882.95 2884.945 Eric_STRAUMANN  6 1 1.995 1.35000000000036 0.400000000000091 0.142857142857143 0.200501253132878 et c' est delors dit oui 
BFMTV_BFMStory_2012-11-14_175800 2885.49 2898.188 Eric_STRAUMANN  49 9 12.698 10.639999999999 1.83999999999969 0.155172413793103 0.144904709403031 c' est(2) l' euro de lion de(2) toute façon c' est(3) un c' est(3) vrai du jour aux pma qui concerne c' est tout le pays je(2) crois donc il est difficile simplement de(2) limiter l' ayant français de(2) ne(2) pas appliquer cette règle ailleurs dans l' union européenne 
BFMTV_BFMStory_2012-11-14_175800 2898.19 2920.297 Olivier_TRUCHOT  84 18 22.107 19.7170000000006 2.34999999999991 0.176470588235294 0.10630117157461 merci monsieur(2) des putes(2) et on sait pas aux choses indues gaillon sa simplement qu' il a joué dans les(2) alpes(2) maritimes(2) et c' est donc un record pour pour la france cinq cent soixante neuf millions d' euros ça fait peut(2) être réglé(2) à mes deux(2) invités les deux députés(3) et que(2) je(2) vous présente pas toutes les députés(3) si tous ces au sens large des socialistes du val-d'oise maire d' argenteuil et peut(2) être un jour débuter(2) Bruno_Beschizza(2) cette image(2) y(4) auraient(2) 
BFMTV_BFMStory_2012-11-14_175800 2914.42 2915.126 Philippe_DOUCET  3 1 0.706 0.519999999999527 0.139999999999873 0.25 0.198300283285939 au sens large 
BFMTV_BFMStory_2012-11-14_175800 2919.49 2920.298 Bruno_BESCHIZZA  3 0 0.808 0.787999999999556 0 0 0 image(2) y(4) auraient(2) 
BFMTV_BFMStory_2012-11-14_175800 2920.74 2921.642 Bruno_BESCHIZZA  4 2 0.902 0.730000000000018 0.132000000000062 0.333333333333333 0.146341463414703 ils(2) sont bien(2) aux 
BFMTV_BFMStory_2012-11-14_175800 2921.64 2958.942 Olivier_TRUCHOT  136 33 37.302 32.3900000000021 4.8100000000004 0.195266272189349 0.128947509516927 aux vieilles au secrétaire national ump la sécurité(2) dans ses rangs du douze(2) mai député(2) je(2) sais pas on sérieusement(3) on va revenir(4) sur la polémique(3) concernant les chiffres de(2) la délinquance(3) qui ont été publiés(2) notamment par nos confrères(2) du figaro d' un côté on(2) entend et notamment du votre(2) Bruno_Beschizza(2) ça prouve(2) bien que(2) depuis que la gauche et la la délinquance(3) est reparti(2) à la hausse puis de(2) l' autre on nous(2) explique(2) enfin que le(2) l' outil qui eux calculent ces chiffres(2) n' est pas bon qu' il faut changer le(2) thermomètre(2) Bruno_Beschizza(2) justement parce que(2) c' est pas près de le(2) thermomètre est ce qu' il est patent deux se(2) mettent d' accord d' ailleurs gauche et droite confondues sur eux une façon de(2) bien calculer ces chiffres(2) de la délinquance 
BFMTV_BFMStory_2012-11-14_175800 2958.94 2977.211 Bruno_BESCHIZZA  63 17 18.271 14.8800000000015 3.31000000000085 0.2125 0.181161403316778 je(2) me(2) renierait puisqu' ici même je(2) dis bien plus d' un(2) an qui fasse(2) et qu' il fallait que(2) nous sortions de tous(2) mes collectivement(3) avec(2) les(2) agressions(2) qu' on a l' heure à laquelle on l' agression laquelle on(2) a pu assister hier à l' assemblée nationale mais qu' on sorte(2) tous(2) dans cette religion(2) du chiffre unique et que(2) commande 
BFMTV_BFMStory_2012-11-14_175800 2977.63 2978.198 Bruno_BESCHIZZA  2 0 0.568 0.440000000000055 0 0 0 de(2) mir 
BFMTV_BFMStory_2012-11-14_175800 2978.8 2979.499 Bruno_BESCHIZZA  3 0 0.699 0.630000000000109 0 0 0 à l' époque 
BFMTV_BFMStory_2012-11-14_175800 2980.06 2987.066 Bruno_BESCHIZZA  14 2 7.006 6.04000000000042 0.909999999999854 0.125 0.129888666856959 après une manifestation de policiers le(2) gouvernement jospin avait mandaté deux parlementaires pandraud caresche 
BFMTV_BFMStory_2012-11-14_175800 2987.77 3006.232 Bruno_BESCHIZZA  62 9 18.462 16.650000000001 1.63999999999987 0.126760563380282 0.0888311125555126 si qui avait donné naissance(3) à l' observatoire national de(2) la délinquance(3) présidée(2) par un beau heures donc oui il faut sortir de(2) cette religion(2) du silence(2) poli pas mais il y(4) a un(2) an Claude_Birraux du même accompagné par un bord le(2) disait en dix(3) ans un(2) an avant une présidentielle(6) si on fait ça on nous(2) accusera de instrumentalise à 
BFMTV_BFMStory_2012-11-14_175800 2995.35 2996.999 Olivier_TRUCHOT  6 1 1.649 1.57900000000018 0.0599999999999454 0.142857142857143 0.0363856882959038 du silence(2) poli pas mais il 
BFMTV_BFMStory_2012-11-14_175800 3006.23 3011.041 Olivier_TRUCHOT  23 1 4.811 4.41000000000031 0.360000000000127 0.0416666666666667 0.0748285179796565 on va la droite est(2) au pouvoir pendant dix(3) ans pourquoi attendre(2) la la fin de compte pour dire il faut changer de 
BFMTV_BFMStory_2012-11-14_175800 3010.84 3013.134 Bruno_BESCHIZZA  8 0 2.294 2.06999999999971 0 0 0 de camp entre-temps le(2) fameux(2) observateur a changé 
BFMTV_BFMStory_2012-11-14_175800 3013.92 3021.863 Bruno_BESCHIZZA  34 1 7.943 7.53999999999996 0.25 0.0285714285714286 0.0314742540601788 quand(2) on fait le(2) procès en disant il y(5) a une explosion(2) de huit pour cent en battant(2) en(2) personne le(2) neuf pour cent de musée elles(8) en(2) elles(2) faysal ratomir(2) dans ce(2) constat 
BFMTV_BFMStory_2012-11-14_175800 3019.26 3020.7 Olivier_TRUCHOT  7 0 1.44 1.39999999999964 0 0 0 de musée elles(8) en(2) elles(2) faysal ratomir(2) 
BFMTV_BFMStory_2012-11-14_175800 3022.39 3030.438 Bruno_BESCHIZZA  29 5 8.048 7.20000000000073 0.740000000000236 0.147058823529412 0.0919483101391944 il faut bien différencier d' un côté est ce qu' on mesure l' activité de la police mais l' autre(2) côté entre(2) temps l' observatoire national de(2) la délinquance 
BFMTV_BFMStory_2012-11-14_175800 3031.03 3059.842 Bruno_BESCHIZZA  96 15 28.812 26.3200000000015 2.32999999999993 0.135135135135135 0.0808690823268058 mesure aussi l' activité de la justice et que(2) fait -on(2) d' une augmentation très(2) intéressant(2) hier dont personne à parler dans le papier ces cent dix mille suspects supplémentaires(4) interpellés par la police et moi la vraie question(2) est celle qu' il faudra qu' on puisse(2) mettre collectivement(3) ton(2) une table sans(2) être agressé(2) par le(2) ministre(2) de l' intérieur sans qu' on nous(2) accuse parce qu' en français sous la stigmatisation soit maintenant(3) instrumentalisation en deux jours au Manuel_Valls a dû prononcer une cinquantaine de(2) fois ce(2) mois là où il faut discuter delassus(3) 
BFMTV_BFMStory_2012-11-14_175800 3060.36 3061.679 Bruno_BESCHIZZA  5 1 1.319 1.16999999999962 0.0900000000001455 0.166666666666667 0.0682335102351369 tu dont(2) elle(2) de(2) maniéré 
BFMTV_BFMStory_2012-11-14_175800 3061.15 3068.144 Olivier_TRUCHOT  24 3 6.994 6.08999999999969 0.829999999999927 0.111111111111111 0.118673148412915 tu dont(2) elle(2) assure une discussion autour de(2) l' outil donc là sa dans sa grâce à bfm story Philippe_Doucet ce(2) soir enfin la 
BFMTV_BFMStory_2012-11-14_175800 3067.63 3095.615 Philippe_DOUCET  74 20 27.985 22.5400000000009 5.42000000000007 0.212765957446809 0.193675183133824 enfin la sans vouloir offenser bfm story orne(2) décidée(2) à la commission des lois Jean-Yves_Le_Bouillonnec(2) en charge d' une mission d' information relative(2) à la mesure statistiques(2) justement sur les accords(2) parce qu' on voit bien et je partage(2) au moins(2) pour avec notre(2) conseil régional présents ici que(2) effectivement(14) eh bien il faut arriver à avoir une mesure statistique partageait avec(2) l' ensemble des données ce qui n' est pas le cas aujourd'hui 
